,,,,Carniceria Samir,Star Cash&Carry,Chino centro,Chino cash&carry,Mercadona,Makro,,,,Presentacion,,
Congelados,Pescado congelado,Langostino,Proteina,,,,,"€9,25","€10,87","€9,25",1.000,"€0,0093",,Mercadona,
despensa,Pasta / Arroz,Lasaña,H.Carbono,,,,,"€7,45",,"€7,45",1.000,"€0,0075",,Mercadona,
Despensa,Especies,Laurel,Sin asignar,,,,,"€55,00","€78,57","€55,00",1.000,"€0,0550",Gr,Mercadona,
Asiatico,varios,Leche de coco,Sin asignar,,,,"€3,19",,,"€3,19",1.000,"€0,0032",,Chino cash&carry,
Despensa,Lacteos,Leche de soja,Lacteos,,,,,"€0,65",,"€0,65",1.000,"€0,0007",,Mercadona,27/8/22 0:00
Despensa,Lacteos,Leche evaporada,Lacteos,,,,,"€2,76","€3,94","€2,76",1.000,"€0,0028",,Mercadona,25/8/22
Despensa,Lacteos,Leche semidesnatada,Lacteos,,,,,"€0,88",,"€0,88",1.000,"€0,0009",,Makro,25/8/22 0:00
Frescos,Verduras,Lechuga iceberg,Verdura,,,,,"€1,03",,"€1,03",1.000,"€0,0010",GR,Mercadona,25/8/22
Congelados,Verduras congeladas,Lemongrass,Verdura,,,,"7,00 €",,,"€7,00",1.000,"€0,0070",GR,Mercadona,27-8
Despensa,Legumbres,Lentejas,Sin asignar,,,,,"€1,60","1,776","€1,60",1.000,"€0,0016",,Mercadona,
Frescos,verduras,Limon,Verdura,,,,,"3,15",,"€3,15",1.000,"€0,0032",GR,Makro,25/8/22 0:00
Congelados,Carne congelada,Lomo bajo de vaca,Proteina,,,,,-,"€7,69","€7,69",1.000,"€0,0077",,Makro,27-8
Congelados,Carne congelada,Lomo de cerdo,Proteina,,,,,"€5,20",,"€5,20",1.000,"€0,0052",,Makro,27-8
Frescos,Carne,Longaniza de pollo,Proteina,,,,,"€7,50",,"€7,50",1.000,"€0,0075",,Mercadona,26/8/22 0:00
Frescos,Carne,Longaniza fresca,Proteina,,,,,"€6,30",,"€6,30",1.000,"€0,0063",,Mercadona,25/8/22 0:00
Despensa,Pasta / Arroz,Macarrones,H.Carbono,,,,,"€1,20",,"€1,20",1.000,"€0,0012",,Mercadona,25/8/22 0:00
Despensa,Despensa,Maiz,Sin asignar,,,,,"€3,81",,"€3,81",1.000,"€0,0038",,Makro,
Despensa,Lacteos,Mantequilla,Lacteos,,,,,"€9,00","€11,77","€9,00",1.000,"€0,0090",,Mercadona,26/8/22 0:00
Frescos,Verduras,Manzana Golden,Verdura,,,,,"€2,20",,"€2,20",1.000,"€0,0022",GR,Makro,25/8/22
Despensa,salsas,Mayonesa,Sin asignar,,,,,"€2,80",,"€2,80",1.000,"€0,0028",,Chino cash&carry,20/08/2025
Frescos,Verduras,Melon,Verdura,,,,,"€0,95",,"€0,95",1.000,"€0,0010",GR,Mercadona,25/8/22
Congelados,Verduras congeladas,Menestra,Verdura,,,,,"€1,15",,"€1,15",1.000,"€0,0012",GR,Makro,
Frescos,Verduras,Menta,Verdura,,,,,"€33,75",,"€33,75",1.000,"€0,0338",GR,Mercadona,25/8/22
Congelados,Pescado congelado,Merluza Entera,Proteina,,,,,"€5,35","€7,48","€5,35",1.000,"€0,0054",,Mercadona,
Congelados,Pescado congelado,Merluza filete grande sin piel,Proteina,,,,,"€8,66","€10,14","€8,66",1.000,"€0,0087",,Mercadona,
Congelados,Pescado congelado,Merluza lomos,Proteina,,,,,"€8,00","€12,83","€8,00",1.000,"€0,0080",,Mercadona,
Despensa,Desayunos,Mermelada,Sin asignar,,,,,,"4,5","€4,50",1.000,"€0,0045",,Makro,25/8/22 0:00
Despensa,Especies,Methi semillas,Sin asignar,,"€9,00",,,,,"€9,00",1.000,"€0,0090",,Star Cash&Carry,
Congelados,Verduras congeladas,Mezcla de setas,Verdura,,,,,"€16,70",,"€16,70",1.000,"€0,0167",Gr,Makro,27-8
Frescos,Verduras,Mezclum,Verdura,,,,,"€9,42",,"€9,42",1.000,"€0,0094",,Makro,25/8/22
Despensa,Despensa,Miel,Sin asignar,,,,,"6,1",,"€6,10",1.000,"€0,0061",,Makro,20/08/2025
Congelados,Carne congelada,Morcillo vaca,Proteina,,,,,-,"€7,88","€7,88",1.000,"€0,0079",,Makro,26-8
despensa,Salsas,Mostaza,Sin asignar,,,,,"€3,48","€1,01","€1,01",1.000,"€0,0010",,Makro,20/08/2025
Despensa,Despensa,Mostaza antigua,Sin asignar,,,,,"€8,50",,"€8,50",1.000,"€0,0085",,Mercadona,20/08/2025
Despensa,Despensa,Mostaza dijon,Sin asignar,,,,,"€6,25",,"€6,25",1.000,"€0,0063",,Mercadona,20/08/2025
Despensa,Desayunos,Muesli,Sin asignar,,,,,"€1,90",,"€1,90",1.000,"€0,0019",,Mercadona,25/8/22 0:00
Despensa,Lacteos,Nata,Lacteos,,,,,"€2,90","€2,60","€2,60",1.000,"€0,0026",,Makro,26/8/22 0:00
Despensa,Especies,Nuez moscada,Sin asignar,,"€46,40",,,,,"€46,40",1.000,"€0,0464",Gr,Star Cash&Carry,
Despensa,Despensa,Nuez picada,Sin asignar,,,,,"€12,66",,"€12,66",1.000,"€0,0127",,Mercadona,20/08/2025
Despensa,Especies,Ñora,Sin asignar,,,,,"€38,40","€26,20","€26,20",1.000,"€0,0262",Gr,Makro,27/8/22 0:00
Congelados,Carne congelada,osobuco,Proteina,,,,,-,"€8,18","€8,18",1.000,"€0,0082",,Makro,26-8
Despensa,Especies,P. Negra molida,Sin asignar,,"€15,00",,,"€13,57","€12,50","€12,50",1.000,"€0,0125",,Makro,27/8/22 0:00
Frescos,Despensa,Pan de barra,Sin asignar,,,,,"€0,40",,"€0,40",1,"€0,4000",Unidad,Mercadona,20/08/2025
Despensa,Desayunos,Pan de molde,Sin asignar,,,,,"€1,53","€2,00","€1,53",1.000,"€0,0015",,Mercadona,25/8/22 0:00
Despensa,Desayunos,Pan de molde Integ,Sin asignar,,,,,"€1,16","€1,72","€1,16",1.000,"€0,0012",,Mercadona,25/8/22 0:00
Frescos,Despensa,Pan Hamburguesa,Sin asignar,,,,,"€0,21",,"€0,21",1,"€0,2120",Unidad,Mercadona,20/08/2025
Frescos,Despensa,Pan Hotdog,Sin asignar,,,,,"€0,15",,"€0,15",1,"€0,1500",Unidad,Mercadona,20/08/2025
Despensa,Despensa,Pan rallado,Sin asignar,,,,,"€2,00",,"€2,00",1.000,"€0,0020",,Mercadona,20/08/2025
Despensa,Despensa,Pan rallado ajo y perejil,Sin asignar,,,,,"€2,00",,"€2,00",1.000,"€0,0020",,Mercadona,20/08/2025
Despensa,Despensa,Pan rallado crujirnte,Sin asignar,,,,,"€4,00",,"€4,00",1.000,"€0,0040",,Mercadona,20/08/2025
Frescos,Carne,Panceta cerdo,Proteina,,,,,"€7,00","€7,26","€7,00",1.000,"€0,0070",,Mercadona,25/8/22
Congelados,Pescado congelado,Panga,Proteina,,,,,"€5,40","€6,56","€5,40",1.000,"€0,0054",,Makro,
Despensa,Lacteos,Parmesano,Lacteos,,,,,"€17,00","€28,22","€17,00",1.000,"€0,0170",Gr,Mercadona,26/8/22 0:00
Frescos,,pasas,Sin asignar,,,,,"€7,20",,"€7,20",1.000,"€0,0072",,Mercadona,20/08/2025
Asiatico,varios,Pasta cacahuete,Sin asignar,,,,"€6,25",,,"€6,25",1.000,"€0,0063",,Chino cash&carry,
Asiatico,salsas,Pasta curry rojo,Sin asignar,,,"€7,56","6,5",,,"€6,50",1.000,"€0,0065",GR,Chino centro,20/08/2025
Asiatico,salsas,Pasta curry verde,Sin asignar,,,"€7,56",6,,,"€6,00",1.000,"€0,0060",GR,Chino centro,20/08/2025
Despensa,Pasta / Arroz,Pasta fusilli,H.Carbono,,,,,"€1,60",,"€1,60",1.000,"€0,0016",,Mercadona,
Despensa,Pasta / Arroz,Pasta Helices,H.Carbono,,,,,"€1,55",,"€1,55",1.000,"€0,0016",,Mercadona,25/8/22 0:00
BBQ,Otros,Pastilla fuego,Sin asignar,,,,,,"€0,03","€0,03",1.000,"€0,0000",,Makro,
despensa,Despensa,Patata bolsa,Sin asignar,,,,,,,"€0,00",,"€0,0000",,Makro,
Frescos,Verduras,Patatas,Verdura,,,,,"€1,31",,"€1,31",1.000,"€0,0013",GR,Makro,25/8/22
Frescos,Verduras,Patatas dulce,Verdura,,,,,"€3,40",,"€3,40",1.000,"€0,0034",GR,Makro,25/8/22
Congelados,Verduras congeladas,Patatas fritas,Verdura,,,,,"€1,55",,"€1,55",1.000,"€0,0016",GR,Makro,27-8
Frescos,Carne,Pechuga de pollo,Proteina,"€7,80",,,,"€6,20",,"€6,20",1.000,"€0,0062",,Carniceria Samir,25/8/22
despensa,Pasta / Arroz,penne integral,H.Carbono,,,,,"€2,40",,"€2,40",1.000,"€0,0024",,,
Despensa,Despensa,Penne rig gate,Sin asignar,,,,,"1,6",,"€1,60",1.000,"€0,0016",,Makro,20/08/2025
Despensa,Pasta / Arroz,Penne tortiglioni,H.Carbono,,,,,"€2,80",,"€2,80",1.000,"€0,0028",,Mercadona,
Despensa,Despensa,Pepinillo vinagre,Sin asignar,,,,,"€4,40",,"€4,40",1.000,"€0,0044",,Makro,
Frescos,Verduras,pepino,Verdura,,,,,"€1,60",,"€1,60",1.000,"€0,0016",GR,Mercadona,25/8/22 0:00
Despensa,Despensa,picatostes,Sin asignar,,,,,"€8,00",,"€8,00",1.000,"€0,0080",,Makro,20/08/2025
Congelados,Carne congelada,pieza cabeza lomo de cerdo,Proteina,,,,,"5,4",,"€5,40",1.000,"€0,0054",,Makro,27-8
Congelados,Verduras congeladas,pimenta roja golden,Verdura,,,,"12,80 €",,,"€12,80",1.000,"€0,0128",,Mercadona,
Despensa,Especies,Pimentón de la vera,Sin asignar,,,,,"€26,00","€12,45","€12,45",1.000,"€0,0125",,Makro,27/8/22 0:00
Despensa,Especies,Pimentón dulce,Sin asignar,,,,,"€14,00","€10,71","€10,71",1.000,"€0,0107",,Makro,27/8/22 0:00
Despensa,Especies,Pimienta negra,Sin asignar,,"€15,00",,,"€17,14","€13,90","€13,90",1.000,"€0,0139",Gr,Makro,27/8/22 0:00
Frescos,Verduras,Pimiento roJo,Verdura,,,,,"€2,70",,"€2,70",1.000,"€0,0027",GR,Mercadona,25/8/22
Frescos,Verduras,pimiento verde,Verdura,,,,,"€2,79",,"€2,79",1.000,"€0,0028",GR,Makro,25/8/22
Congelados,Verduras congeladas,Pimientos,Verdura,,,,,"€2,70","€3,83","€2,70",1.000,"€0,0027",GR,Mercadona,
Asiatico,varios,Piparras,Sin asignar,,,,"€1,80",,,"€1,80",1.000,"€0,0018",,Chino cash&carry,
Congelados,Pescado congelado,Pota china,Proteina,,,,,"€8,00","€5,70","€5,70",1.000,"€0,0057",,Makro,
Congelados,Pescado congelado,Pota congelada tubo,Proteina,,,,,"€11,50","€10,42","€10,42",1.000,"€0,0104",,Makro,
Frescos,verduras,puerro,Verdura,,,,,"€4,80",,"€4,80",1.000,"€0,0048",GR,Mercadona,25/8/22
Congelados,Pescado congelado,Pulpo crudo,Proteina,,,,,"€13,95","€13,08","€13,08",1.000,"€0,0131",Gr,Makro,
Despensa,Despensa,Pure de patatas,Sin asignar,,,,,"€4,00",,"€4,00",1.000,"€0,0040",,Mercadona,20/08/2025
Despensa,Lacteos,Queso cheddar,Lacteos,,,,,"€10,50",,"€10,50",1.000,"€0,0105",,Mercadona,26/8/22 0:00
Frescos,lacteos,Queso fresco burgos,Lacteos,,,,,"€4,10",,"€4,10",1.000,"€0,0041",,Mercadona,
Despensa,Lacteos,Queso Lonchas,Lacteos,,,,,"€6,75",,"€6,75",1.000,"€0,0068",,Mercadona,26/8/22 0:00
Frescos,lacteos,Queso mozzarella,Lacteos,,,,,"€7,76",,"€7,76",1.000,"€0,0078",,Mercadona,
Despensa,Lacteos,Queso Pasta,Lacteos,,,,,"€6,00",,"€6,00",1.000,"€0,0060",,Makro,26/8/22 0:00
Despensa,Despensa,Quinoa,Sin asignar,,,,,"€5,50","€5,81","€5,50",1.000,"€0,0055",,Mercadona,20/08/2025
Congelados,Pescado congelado,Rape cola,Proteina,,,,,"€15,95",,"€15,95",1.000,"€0,0160",Gr,Mercadona,
Despensa,Especies,Roganjosh pasta,Sin asignar,,"€7,83",,,,,"€7,83",1.000,"€0,0078",,Star Cash&Carry,
Frescos,Verduras,Romero,Especies y Aromaticas,,,,,,,"€0,00",,"€0,0000",GR,Mercadona,25/8/22 0:00
Despensa,Despensa,Sal,Sin asignar,,,,,"€0,40",,"€0,40",1.000,"€0,0004",,Makro,20/08/2025
Frescos,Carne,Salchicha F,Proteina,,,,,"€6,73",,"€6,73",1.000,"€0,0067",,Mercadona,25/8/22
Frescos,Pescado,Salmon,Proteina,,,,,,"€12,40","€12,40",1.000,"€0,0124",,Makro,
Despensa,Salsas,Salsa Barbacoa,Sin asignar,,,,,"3,2","€2,83","€2,83",1.000,"€0,0028",,Makro,20/08/2025
Despensa,Despensa,Salsa cesar,Sin asignar,,,,,"€4,52",,"€4,52",1.000,"€0,0045",,Makro,20/08/2025
Asiatico,Salsas,Salsa kimchi,Sin asignar,,,,"€6,30",,,"€6,30",1.000,"€0,0063",ML,Chino cash&carry,25/8/22 0:00
Asiatico,salsas,Salsa ostra,Sin asignar,,,,"€5,65",,,"€5,65",1.000,"€0,0057",ML,Chino cash&carry,
Asiatico,salsas,Salsa pescado,Sin asignar,,,,"€4,00",,,"€4,00",1.000,"€0,0040",ML,Chino cash&carry,
Despensa,Despensa,Salsa Pesto R,Sin asignar,,,,,"€10,26",,"€10,26",1.000,"€0,0103",,Mercadona,20/08/2025
Despensa,Salsas,Salsa pesto V,Sin asignar,,,,,"€10,26",,"€10,26",1.000,"€0,0103",,Mercadona,20/08/2025
Asiatico,salsas,Salsa soja,Sin asignar,,,,"€2,25",,,"€2,25",1.000,"€0,0023",ML,Chino cash&carry,20/08/2025
Asiatico,salsas,Salsa soja picante,Sin asignar,,,"€7,47",,,,"€7,47",1.000,"€0,0075",ML,Chino centro,20/08/2025
Congelados,Verduras congeladas,Salteado wok,Verdura,,,,,,,"€0,00",,"€0,0000",GR,-,
Frescos,Verduras,Sandia,Verdura,,,,,"€0,65",,"€0,65",1.000,"€0,0007",GR,Mercadona,25/8/22
Asiatico,varios,Sesamo,Sin asignar,,,,,,"€8,73","€8,73",1.000,"€0,0087",GR,Makro,25/8/22 0:00
Congelados,Verduras congeladas,Setas asia,Verdura,,,,,,"€3,38","€3,38",1.000,"€0,0034",GR,Makro,
Asiatico,varios,Shitake,Sin asignar,,,"€11,43",,,,"€11,43",1.000,"€0,0114",,Chino centro,
Congelados,Carne congelada,Solomillo cerdo,Proteina,,,,,"€8,20",,"€8,20",1.000,"€0,0082",,Makro,27-8
Despensa,Pasta / Arroz,Spaguettis,H.Carbono,,,,,"€1,20",,"€1,20",1.000,"€0,0012",,Mercadona,25/8/22 0:00
despensa,Pasta / Arroz,Spaguettis integral,H.Carbono,,,,,"€2,40",,"€2,40",1.000,"€0,0024",,,
Despensa,Pasta / Arroz,Tallarines,H.Carbono,,,,,"€1,60",,"€1,43",1.000,"€0,0014",,Makro,25/8/22 0:00
Asiatico,salsas,Tamarindo,Sin asignar,,,,"€5,29",,,"€5,29",1.000,"€0,0053",ML,Chino cash&carry,
Despensa,Especies,Tandoori massala,Sin asignar,,"€7,25",,,,,"€7,25",1.000,"€0,0073",,Star Cash&Carry,
Despensa,Salsas,Tartufo,Sin asignar,,,,,,"28,44","€28,44",1.000,"€0,0284",Gr,Makro,
Despensa,Desayunos,Te,Sin asignar,,,,,,"0,0651","€0,07",1.000,"€0,0001",,Makro,25/8/22 0:00
Congelados,Pescado congelado,Tinta sepia,Proteina,,,,,"€37,50","€23,08","€23,08",1.000,"€0,0231",ML,Makro,
Asiatico,salsas,Tobanjan,Sin asignar,,,,"€7,68",,,"€7,68",1.000,"€0,0077",ML,Chino cash&carry,20/08/2025
Frescos,Carne,Tocino,Proteina,,,,,"€6,80",,"€6,80",1.000,"€0,0068",,Makro,
Asiatico,frescos,Tofu,Proteina,,,,"€2,42",,,"€2,42",1.000,"€0,0024",,Chino cash&carry,
Frescos,Verduras,Tomate cherri,Verdura,,,,,"€4,00",,"€4,00",1.000,"€0,0040",GR,Makro,25/8/22
Despensa,Despensa,Tomate concentrado,Sin asignar,,,,,"€6,11",,"€6,11",1.000,"€0,0061",,Makro,
Frescos,Verduras,Tomate Daniela,Verdura,,,,,"€2,07",,"€2,07",1.000,"€0,0021",GR,Makro,25/8/22
Despensa,Despensa,Tomate frito,Sin asignar,,,,,"€1,13","1,28","€1,13",1.000,"€0,0011",,Mercadona,20/08/2025
Despensa,Despensa,Tomate N. Entero,Sin asignar,,,,,"€2,81",,"€2,81",1.000,"€0,0028",,Makro,20/08/2025
Despensa,Despensa,Tomate seco,Sin asignar,,,,,"€24,11","9,71","€9,71",1.000,"€0,0097",,Makro,
Despensa,Despensa,Tomate Triturado,Sin asignar,,,,,"€1,23",,"€1,23",1.000,"€0,0012",,Makro,20/08/2025
Frescos,Verduras,Tomillo ,Especies y Aromaticas,,,,,,,"€0,00",,"€0,0000",GR,Mercadona,25/8/22 0:00
Despensa,Mexicano,Tortillas Trigo,Sin asignar,,,,,"€0,11","€0,11","€0,11",1,"€0,1100",Unidad,Makro,20/08/2025
Despensa,Mexicano,Tortillas Trigo Integral,Sin asignar,,,,,"€0,16",,"€0,16",1,"€0,1600",Unidad,Makro,20/08/2025
Despensa,Despensa,Uva pasa,Sin asignar,,,,,"€5,20",,"€5,20",1.000,"€0,0052",,Makro,25/8/22
Congelados,Verduras congeladas,Verduras paella,Verdura,,,,,"€2,11",,"€2,11",1.000,"€0,0021",GR,Mercadona,27-8
Despensa,Despensa,Vinagre jerez,Sin asignar,,,,,"€8,00",,"€8,00",1.000,"€0,0080",,Makro,
Despensa,Despensa,Vinagre manzana,Sin asignar,,,,,"€0,90",,"€0,90",1.000,"€0,0009",,Mercadona,20/08/2025
Despensa,Despensa,Vino blanco,Sin asignar,,,,,"€0,90",,"€0,90",1.000,"€0,0009",,Mercadona,20/08/2025
Despensa,Lacteos,Yogurt blanco,Lacteos,,,,,"€1,33",,"€1,33",1.000,"€0,0013",,Mercadona,26/8/22 0:00
Despensa,Lacteos,Yogurt griego,Lacteos,,,,,"€2,30",,"€2,30",1.000,"€0,0023",,Mercadona,26/8/22 0:00
Frescos,Verduras,Zanahoria,Verdura,,,,,"€1,15",,"€1,15",1.000,"€0,0012",GR,Mercadona,25/8/22
Congelados,Verduras congeladas,Zanahoria baby,Verdura,,,,,"€1,89",,"€1,89",1.000,"€0,0019",GR,Makro,
despensa,Despensa,Zumo,Sin asignar,,,,,,,"€0,00",,"€0,0000",,Makro,