Carniceria Samir	Star Cash&Carry	Chino centro	Chino cash&carry	Mercadona	Makro			Presentacion		
Categoria	Subcategoria	Producto	Cat. Nutricional	€/KG	€/KG	€/KG	€/KG	€/KG	€/KG	Precio mas bajo	€/gr		Proveedor	Ultima actualización
Asiatico	frescos	Tofu	Proteina				2,42 €			2,42 €	0,00 €		Chino cash&carry	
Asiatico	frescos	Col china	verdura				2,50 €			2,50 €	0,00 €		Chino cash&carry	28/7/25 23:27
Asiatico	Salsas	Salsa kimchi	Sin asignar				6,30 €			6,30 €	0,01 €	ML	Chino cash&carry	25/8/22 0:00
Asiatico	salsas	Salsa soja	Sin asignar				2,25 €			2,25 €	0,00 €	ML	Chino cash&carry	20/08/2025
Asiatico	salsas	Tobanjan	Sin asignar				7,68 €			7,68 €	0,01 €	ML	Chino cash&carry	20/08/2025
Asiatico	salsas	Salsa ostra	Sin asignar				5,65 €			5,65 €	0,01 €	ML	Chino cash&carry	
Asiatico	salsas	Gochujang	Sin asignar				5,61 €			5,61 €	0,01 €	ML	Chino cash&carry	20/08/2025
Asiatico	salsas	Tamarindo	Sin asignar				5,29 €			5,29 €	0,01 €	ML	Chino cash&carry	
Asiatico	salsas	Salsa pescado	Sin asignar				4,00 €			4,00 €	0,00 €	ML	Chino cash&carry	
Asiatico	salsas	Salsa soja picante	Sin asignar			7,47 €				7,47 €	0,01 €	ML	Chino centro	20/08/2025
Asiatico	salsas	Pasta curry verde	Sin asignar			7,56 €	6			6,00 €	0,01 €	GR	Chino centro	20/08/2025
Asiatico	salsas	Pasta curry rojo	Sin asignar			7,56 €	6,5			6,50 €	0,01 €	GR	Chino centro	20/08/2025
Asiatico	varios	Sesamo	Sin asignar						8,73 €	8,73 €	0,01 €	GR	Makro	25/8/22 0:00
Asiatico	varios	Brotes soja	Sin asignar							0,00 €	0,00 €		-	
Asiatico	varios	Ajinomoto	Sin asignar				4,07 €			4,07 €	0,00 €		Chino cash&carry	
Asiatico	varios	Leche de coco	Sin asignar				3,19 €			3,19 €	0,00 €		Chino cash&carry	
Asiatico	varios	Pasta cacahuete	Sin asignar				6,25 €			6,25 €	0,01 €		Chino cash&carry	
Asiatico	varios	Cacahuete	Sin asignar					4		4,00 €	0,00 €		Chino cash&carry	
Asiatico	varios	Piparras	Sin asignar				1,80 €			1,80 €	0,00 €		Chino cash&carry	
Asiatico	varios	Aceite de sesamo	Grasa			11,90 €				11,90 €	0,01 €		Chino centro	
Asiatico	varios	Shitake	Sin asignar			11,43 €				11,43 €	0,01 €		Chino centro	
Asiatico	varios	Katakuriko	Sin asignar			2,15 €				2,15 €	0,00 €		Chino centro	
BBQ	Otros	Carbon	Sin asignar						2,15 €	2,15 €	0,00 €		Makro	
BBQ	Otros	Pastilla fuego	Sin asignar						0,03 €	0,03 €	0,00 €		Makro	
Congelados	Carne congelada	Lomo bajo de vaca	Proteina					-	7,69 €	7,69 €	0,01 €		Makro	27-8
Congelados	Carne congelada	Cuello de cordero	Proteina					10,75 €		10,75 €	0,01 €		Makro	27-8
Congelados	Carne congelada	osobuco	Proteina					-	8,18 €	8,18 €	0,01 €		Makro	26-8
Congelados	Carne congelada	Morcillo vaca	Proteina					-	7,88 €	7,88 €	0,01 €		Makro	26-8
Congelados	Carne congelada	Lagarto de cerdo	Proteina					-	5,49 €	5,49 €	0,01 €		Makro	27-8
Congelados	Carne congelada	Chuleta de cerdo	Proteina					5,60 €		5,60 €	0,01 €		Makro	27-8
Congelados	Carne congelada	Solomillo cerdo	Proteina					8,20 €		8,20 €	0,01 €		Makro	27-8
Congelados	Carne congelada	Aguja cerdo sin H	Proteina					-	4,35 €	4,35 €	0,00 €		Makro	27-8
Congelados	Carne congelada	pieza cabeza lomo de cerdo	Proteina					5,4		5,40 €	0,01 €		Makro	27-8
Congelados	Carne congelada	Lomo de cerdo	Proteina					5,20 €		5,20 €	0,01 €		Makro	27-8
Congelados	Carne congelada	Carillada de cerdo	Proteina					-	9,76 €	9,76 €	0,01 €		Makro	27-8
Congelados	Carne congelada	Cabeza de lomo	Proteina					5,40 €		5,40 €	0,01 €		Makro	27-8
Congelados	Carne congelada	Codillo cerdo	Proteina					-	4,86 €	4,86 €	0,00 €		Makro	27-8
Congelados	Carne congelada	Costilla cerdo Iberico	Proteina					-	6,88 €	6,88 €	0,01 €		Makro	27-8
Congelados	Carne congelada	Jamoncitos de pollo	Proteina					3,50 €		3,50 €	0,00 €		Makro	27-8
Congelados	Carne congelada	Alitas de pollo	Proteina	4,50 €				4,45 €		4,45 €	0,00 €		Makro	27-8
Congelados	Carne congelada	Cuartos traseros	Proteina	3,80 €						3,80 €	0,00 €		Makro	27-8
Congelados	Carne congelada	Carne añojo guiso	Proteina					-		0,00 €	0,00 €		-	27-8
Congelados	Carne congelada	Falda cordero	Proteina					-	-	0,00 €	0,00 €		-	27-8
Congelados	Marisco congelado	Arreglo paella	Sin asignar					7,65 €	7,54 €	7,54 €	0,01 €		Makro	
Congelados	Pescado congelado	Tinta sepia	Proteina					37,50 €	23,08 €	23,08 €	0,02 €	ML	Makro	
Congelados	Pescado congelado	Pulpo crudo	Proteina					13,95 €	13,08 €	13,08 €	0,01 €	Gr	Makro	
Congelados	Pescado congelado	Atun congelado	Proteina					13,10 €	11,99 €	11,99 €	0,01 €		Makro	
Congelados	Pescado congelado	Pota congelada tubo	Proteina					11,50 €	10,42 €	10,42 €	0,01 €		Makro	
Congelados	Pescado congelado	Gamba arrocera	Proteina					12,95 €	7,69 €	7,69 €	0,01 €		Makro	
Congelados	Pescado congelado	Gamba pequeno	Proteina					13,75 €		13,75 €	0,01 €		Makro	
Congelados	Pescado congelado	Bacalao Lomo	Proteina					13,49 €	6,26 €	6,26 €	0,01 €		Makro	
Congelados	Pescado congelado	Calamar entero	Proteina					7,50 €	6,26 €	6,26 €	0,01 €		Makro	
Congelados	Pescado congelado	Anillas a la romana	Proteina					7,40 €	6,21 €	6,21 €	0,01 €		Makro	
Congelados	Pescado congelado	Pota china	Proteina					8,00 €	5,70 €	5,70 €	0,01 €		Makro	
Congelados	Pescado congelado	Chipiron puntilla	Proteina					8,33 €	4,71 €	4,71 €	0,00 €		Makro	
Congelados	Pescado congelado	abadejo	Proteina					5,82 €	4,39 €	4,39 €	0,00 €		Makro	
Congelados	Pescado congelado	Panga	Proteina					5,40 €	6,56 €	5,40 €	0,01 €		Makro	
Congelados	Pescado congelado	Rape cola	Proteina					15,95 €		15,95 €	0,02 €	Gr	Mercadona	
Congelados	Pescado congelado	Bacalao tacos	Proteina					9,95 €		9,95 €	0,01 €		Mercadona	
Congelados	Pescado congelado	Langostino	Proteina					9,25 €	10,87 €	9,25 €	0,01 €		Mercadona	
Congelados	Pescado congelado	Calamar limpio troceado	Proteina					8,32 €	8,51 €	8,32 €	0,01 €		Mercadona	
Congelados	Pescado congelado	Merluza lomos	Proteina					8,00 €	12,83 €	8,00 €	0,01 €		Mercadona	
Congelados	Pescado congelado	Merluza filete grande sin piel	Proteina					8,66 €	10,14 €	8,66 €	0,01 €		Mercadona	
Congelados	Pescado congelado	Arreglo paella y sopa	Proteina					6,04 €		6,04 €	0,01 €		Mercadona	
Congelados	Pescado congelado	Merluza Entera	Proteina					5,35 €	7,48 €	5,35 €	0,01 €		Mercadona	
Congelados	Pescado congelado	Boqueron	Proteina					3,50 €	3,96 €	3,50 €	0,00 €		Mercadona	
Congelados	Verduras congeladas	Bastones boniato	Verdura						3,62 €	3,62 €	0,00 €	GR	Makro	
Congelados	Verduras congeladas	Setas asia	Verdura						3,38 €	3,38 €	0,00 €	GR	Makro	
Congelados	Verduras congeladas	habas	Verdura					2,64 €	3,84 €	2,64 €	0,00 €	GR	Mercadona	
Congelados	Verduras congeladas	Pimientos	Verdura					2,70 €	3,83 €	2,70 €	0,00 €	GR	Mercadona	
Congelados	Verduras congeladas	Mezcla de setas	Verdura					16,70 €		16,70 €	0,02 €	Gr	Makro	27-8
Congelados	Verduras congeladas	Zanahoria baby	Verdura					1,89 €		1,89 €	0,00 €	GR	Makro	
Congelados	Verduras congeladas	Coles de Bruselas	Verdura					1,76 €		1,76 €	0,00 €	GR	Makro	
Congelados	Verduras congeladas	Cebolla brunoise	Verdura							0,00 €	0,00 €	GR	Makro	
Congelados	Verduras congeladas	Espinacas	Verdura					4,13 €		4,13 €	0,00 €	GR	Makro	27-8
Congelados	Verduras congeladas	Patatas fritas	Verdura					1,55 €		1,55 €	0,00 €	GR	Makro	27-8
Congelados	Verduras congeladas	Menestra	Verdura					1,15 €		1,15 €	0,00 €	GR	Makro	
Congelados	Verduras congeladas	Salteado wok	Verdura							0,00 €	0,00 €	GR	-	
Congelados	Verduras congeladas	Ajetes	Verdura					7,33 €	-	7,33 €	0,01 €	GR	Mercadona	27-8
Congelados	Verduras congeladas	coliflor	Verdura					2,20 €		2,20 €	0,00 €	GR	Mercadona	
Congelados	Verduras congeladas	Alcachofas	Verdura					4,25 €		4,25 €	0,00 €	GR	Mercadona	
Congelados	Verduras congeladas	Garrofon	Verdura					2,11 €		2,11 €	0,00 €	GR	Mercadona	
Congelados	Verduras congeladas	Verduras paella	Verdura					2,11 €		2,11 €	0,00 €	GR	Mercadona	27-8
Congelados	Verduras congeladas	Brocoli congelado	Verdura					2,10 €		2,10 €	0,00 €	GR	Mercadona	
Congelados	Verduras congeladas	Judia verde plana	Verdura					4,60 €		4,60 €	0,00 €	GR	Mercadona	27-8
Congelados	Verduras congeladas	guisantes	Verdura					1,65 €		1,65 €	0,00 €	GR	Mercadona	27-8
Congelados	Verduras congeladas	pimenta roja golden	Verdura				12,80 €			12,80 €	0,01 €		Mercadona	
Congelados	Verduras congeladas	Lemongrass	Verdura				7,00 €			7,00 €	0,01 €	GR	Mercadona	27-8
Congelados	Verduras congeladas	Hoja de lima	Verdura				19,20 €			19,20 €	0,02 €	Gr	Mercadona	27-8
Congelados	Verduras congeladas	galanga	Verdura				7,60 €			7,60 €	0,01 €	GR	Mercadona	27-8
Despensa	Desayunos	Te	Sin asignar						0,0651	0,07 €	0,00 €		Makro	25/8/22 0:00
Despensa	Desayunos	Cafe	Sin asignar						7,90 €	7,90 €	0,01 €		Makro	25/8/22 0:00
Despensa	Desayunos	Mermelada	Sin asignar						4,5	4,50 €	0,00 €		Makro	25/8/22 0:00
Despensa	Desayunos	Cornflakes azúcar	Sin asignar							0,00 €	0,00 €		-	25/8/22 0:00
Despensa	Desayunos	C. Arroz chocolate	Sin asignar					3,10 €	3,52 €	3,10 €	0,00 €		Mercadona	25/8/22 0:00
Despensa	Desayunos	Muesli	Sin asignar					1,90 €		1,90 €	0,00 €		Mercadona	25/8/22 0:00
Despensa	Desayunos	C. Copos choco	Sin asignar					2,90 €	3,84 €	2,90 €	0,00 €		Mercadona	25/8/22 0:00
Despensa	Desayunos	Cereales bolas chocolate	Sin asignar					2,50 €	2,92 €	2,50 €	0,00 €		Mercadona	
Despensa	Desayunos	Copos de avena	Sin asignar					1,40 €	5,68 €	1,40 €	0,00 €		Mercadona	25/8/22 0:00
Despensa	Desayunos	Cornflakes	Sin asignar					2,30 €	2,92 €	2,30 €	0,00 €		Mercadona	
Despensa	Desayunos	Pan de molde Integ	Sin asignar					1,16 €	1,72 €	1,16 €	0,00 €		Mercadona	25/8/22 0:00
Despensa	Desayunos	Pan de molde	Sin asignar					1,53 €	2,00 €	1,53 €	0,00 €		Mercadona	25/8/22 0:00
Despensa	Desayunos	Cereales bolas maiz	Sin asignar					2,60 €	2,92	2,60 €	0,00 €		Mercadona	
Despensa	Despensa	Atun Lata/oliva	Sin asignar					13,61 €		13,61 €	0,01 €	Gr	Makro	25/8/22 0:00
Despensa	Despensa	Salsa cesar	Sin asignar					4,52 €		4,52 €	0,00 €		Makro	20/08/2025
Despensa	Despensa	Caldo de pescado	Sin asignar					1,00 €		1,00 €	0,00 €		Makro	20/08/2025
Despensa	despensa	Almendra	Sin asignar					7,20 €		7,20 €	0,01 €		Makro	20/08/2025
Despensa	Despensa	Uva pasa	Sin asignar					5,20 €		5,20 €	0,01 €		Makro	25/8/22
Despensa	Despensa	Tomate seco	Sin asignar					24,11 €	9,71	9,71 €	0,01 €		Makro	
Despensa	Despensa	Salsa Pesto R	Sin asignar					10,26 €		10,26 €	0,01 €		Mercadona	20/08/2025
Despensa	Despensa	Aceite oliva	Grasa					3,91 €		3,91 €	0,00 €		Mercadona	25/8/22 0:00
Despensa	Despensa	Pure de patatas	Sin asignar					4,00 €		4,00 €	0,00 €		Mercadona	20/08/2025
Despensa	Despensa	Harina de maiz	Sin asignar					3,00 €		3,00 €	0,00 €		Mercadona	20/08/2025
Despensa	Despensa	Cebolla frita	Sin asignar					7,67 €		7,67 €	0,01 €		Mercadona	20/08/2025
Despensa	Despensa	Cous cous	Sin asignar					1,93 €		1,93 €	0,00 €		Mercadona	20/08/2025
Despensa	Despensa	Harina	Sin asignar					0,72 €		0,72 €	0,00 €		Mercadona	20/08/2025
Despensa	Despensa	Vinagre manzana	Sin asignar					0,90 €		0,90 €	0,00 €		Mercadona	20/08/2025
Despensa	Despensa	Vino blanco	Sin asignar					0,90 €		0,90 €	0,00 €		Mercadona	20/08/2025
Despensa	Despensa	Pan rallado	Sin asignar					2,00 €		2,00 €	0,00 €		Mercadona	20/08/2025
Despensa	Despensa	Pan rallado crujirnte	Sin asignar					4,00 €		4,00 €	0,00 €		Mercadona	20/08/2025
Despensa	Despensa	Pan rallado ajo y perejil	Sin asignar					2,00 €		2,00 €	0,00 €		Mercadona	20/08/2025
Despensa	Despensa	Mostaza antigua	Sin asignar					8,50 €		8,50 €	0,01 €		Mercadona	20/08/2025
Despensa	Despensa	Mostaza dijon	Sin asignar					6,25 €		6,25 €	0,01 €		Mercadona	20/08/2025
Despensa	Despensa	Galletas Saladas	Sin asignar					4,75 €		4,75 €	0,00 €		Mercadona	20/08/2025
Despensa	Despensa	Caldo de pollo deshidratado	Sin asignar					5,80 €		5,80 €	0,01 €		Mercadona	20/08/2025
Despensa	Despensa	Caldo vegetal	Sin asignar					7,08 €		7,08 €	0,01 €		Mercadona	20/08/2025
Despensa	Despensa	Aceite girasol	Grasa					1,74 €		1,74 €	0,00 €		Mercadona	25/8/22 0:00
Despensa	Despensa	Arroz redondo	H.Carbono					1,30 €		1,30 €	0,00 €		Mercadona	25/8/22 0:00
Despensa	Despensa	Arroz Largo	H.Carbono					1,35 €		1,35 €	0,00 €		Mercadona	25/8/22 0:00
despensa	Pasta / Arroz	Arroz integral	H.Carbono					1,65 €		1,65 €	0,00 €			24/8/22
Despensa	Despensa	Arroz Basmati	H.Carbono					2,20 €		2,20 €	0,00 €			
Despensa	Despensa	Tomate frito	Sin asignar					1,13 €	1,28	1,13 €	0,00 €		Mercadona	20/08/2025
Despensa	Despensa	Quinoa	Sin asignar					5,50 €	5,81 €	5,50 €	0,01 €		Mercadona	20/08/2025
Despensa	Despensa	Anchoas	Sin asignar					23,56 €		23,56 €	0,02 €	Gr	Makro	20/08/2025
Despensa	Despensa	Caldo paella	Sin asignar					2,25		2,25 €	0,00 €		Makro	20/08/2025
Despensa	Despensa	Alcaparras	Sin asignar					16,88 €		16,88 €	0,02 €	Gr	Makro	20/08/2025
